measuredAt,sensorId,temperature,humidity,pressure,tvoc,eCo2,co2,absolute_humidity
2022-05-16T00:00:00+0900,m5stack-bme280-device-bme280,23.3208,47.12789,1011.457,,,,9.842818869286548
2022-05-16T00:03:00+0900,m5stack-bme280-device-sgp30,,,,11242.0,1506.0,,
2022-05-16T00:06:00+0900,m5stack-bme280-device-scd30,25.63168,44.20488,,,,1384.0,10.519111981442588
2022-05-16T00:10:00+0900,m5stack-bme280-device-bme280,23.3988,47.16598,1011.09,,,,9.894631499696722
2022-05-16T00:13:00+0900,m5stack-bme280-device-sgp30,,,,10658.0,1502.0,,
2022-05-16T00:16:00+0900,m5stack-bme280-device-scd30,25.69532,44.24947,,,,1415.0,10.567281556949377
2022-05-16T00:20:00+0900,m5stack-bme280-device-bme280,23.4228,47.32863,1011.119,,,,9.94232787166774
2022-05-16T00:23:00+0900,m5stack-bme280-device-sgp30,,,,10117.0,1501.0,,
2022-05-16T00:26:00+0900,m5stack-bme280-device-scd30,25.73033,44.33907,,,,1447.0,10.609432307212296
2022-05-16T00:30:00+0900,m5stack-bme280-device-bme280,23.4892,47.37258,1011.139,,,,9.98923684498203
2022-05-16T00:33:00+0900,m5stack-bme280-device-sgp30,,,,9676.0,1502.0,,
2022-05-16T00:36:00+0900,m5stack-bme280-device-scd30,25.77336,44.41138,,,,1475.0,10.652331682660414
2022-05-16T00:40:00+0900,m5stack-bme280-device-bme280,23.5468,47.47832,1010.935,,,,10.044389805749177
2022-05-16T00:43:00+0900,m5stack-bme280-device-sgp30,,,,9312.0,1519.0,,
2022-05-16T00:46:00+0900,m5stack-bme280-device-scd30,25.83018,44.47683,,,,1494.0,10.701961921613307
2022-05-16T00:50:00+0900,m5stack-bme280-device-bme280,23.5956,47.50543,1010.921,,,,10.078050287475332
2022-05-16T00:53:00+0900,m5stack-bme280-device-sgp30,,,,6000.0,1192.0,,
2022-05-16T00:56:00+0900,m5stack-bme280-device-scd30,25.74235,43.86088,,,,1331.0,10.502067598575008
2022-05-16T01:00:00+0900,m5stack-bme280-device-bme280,23.4796,46.98063,1010.757,,,,9.901178495533824
2022-05-16T01:03:00+0900,m5stack-bme280-device-sgp30,,,,8724.0,1713.0,,
2022-05-16T01:06:00+0900,m5stack-bme280-device-scd30,25.72662,44.26888,,,,1425.0,10.590439884330936
2022-05-16T01:10:00+0900,m5stack-bme280-device-bme280,23.4668,47.33328,1010.667,,,,9.968236533380892
2022-05-16T01:13:00+0900,m5stack-bme280-device-sgp30,,,,9155.0,1771.0,,
2022-05-16T01:16:00+0900,m5stack-bme280-device-scd30,25.69947,44.46132,,,,1491.0,10.620338755020612
2022-05-16T01:20:00+0900,m5stack-bme280-device-bme280,23.4448,47.55527,1010.646,,,,10.002455757379456
2022-05-16T01:23:00+0900,m5stack-bme280-device-sgp30,,,,9122.0,1780.0,,
2022-05-16T01:26:00+0900,m5stack-bme280-device-scd30,25.68316,44.64815,,,,1546.0,10.655240717859808
2022-05-16T01:30:00+0900,m5stack-bme280-device-bme280,23.4316,47.86387,1010.381,,,,10.05980366765783
2022-05-16T01:33:00+0900,m5stack-bme280-device-sgp30,,,,8543.0,1691.0,,
2022-05-16T01:36:00+0900,m5stack-bme280-device-scd30,25.50454,43.19195,,,,1188.0,10.20516716761916
2022-05-16T01:40:00+0900,m5stack-bme280-device-bme280,23.1648,46.36043,1010.238,,,,9.596810542055175
2022-05-16T01:43:00+0900,m5stack-bme280-device-sgp30,,,,4521.0,1232.0,,
2022-05-16T01:46:00+0900,m5stack-bme280-device-scd30,25.22431,44.24159,,,,1297.0,10.29018654640858
2022-05-16T01:50:00+0900,m5stack-bme280-device-bme280,23.0028,47.33524,1010.417,,,,9.708419400120995
2022-05-16T01:53:00+0900,m5stack-bme280-device-sgp30,,,,5178.0,1339.0,,
2022-05-16T01:56:00+0900,m5stack-bme280-device-scd30,24.99377,44.98639,,,,1383.0,10.32875532326016
2022-05-16T02:00:00+0900,m5stack-bme280-device-bme280,22.8588,48.28988,1010.429,,,,9.82305286107301
